Date,LongReturn_Net,ShortReturn_Net,LSReturn_Net,BenchmarkReturn,LongTurnover,LongTickers,ShortTickers,Regime_RiskOn,Regime_SGGrowth,VIX,SG_PMI,Label
2009-12-31,0.04264239470111325,-0.07170037431952535,-0.029057979618412097,0.06895532895911054,0.16666666666666666,YZJSGD SP Equity|KEP SP Equity|MLT SP Equity|STM SP Equity|HKL SP Equity|UOL SP Equity,VMS SP Equity|SIA SP Equity|JM SP Equity|CLAR SP Equity|CICT SP Equity|DFI SP Equity,0.0,1,24.51,52.0,Full
2010-01-31,-0.05073758404514121,0.04478573290524925,-0.00595185113989196,-0.05123855130260669,0.16666666666666666,YZJSGD SP Equity|HKL SP Equity|KEP SP Equity|MLT SP Equity|SCI SP Equity|STM SP Equity,CIT SP Equity|ST SP Equity|CLAR SP Equity|SIA SP Equity|CICT SP Equity|DFI SP Equity,0.0,1,21.68,53.3,Full
2010-02-28,0.03619507881277575,-0.024394361492422183,0.011800717320353565,0.0074833486978980865,0.16666666666666666,YZJSGD SP Equity|KEP SP Equity|HKL SP Equity|STM SP Equity|MLT SP Equity|FCT SP Equity,UOB SP Equity|STE SP Equity|ST SP Equity|SIA SP Equity|CICT SP Equity|DFI SP Equity,0.0,1,24.62,51.4,Full
2010-03-31,0.08771254618320709,-0.06421535858597599,0.0234971875972311,0.05003329928065694,0.16666666666666666,YZJSGD SP Equity|HKL SP Equity|KEP SP Equity|STM SP Equity|MLT SP Equity|SCI SP Equity,CLAR SP Equity|JM SP Equity|ST SP Equity|SIA SP Equity|CICT SP Equity|DFI SP Equity,1.0,1,19.5,51.9,Full
2010-04-30,0.06537677699467297,-0.052672754433355146,0.012704022561317821,0.052650313652769364,0.3333333333333333,YZJSGD SP Equity|STM SP Equity|HKL SP Equity|KEP SP Equity|UOL SP Equity|FCT SP Equity,ST SP Equity|CICT SP Equity|SIA SP Equity|JM SP Equity|GENS SP Equity|DFI SP Equity,1.0,1,17.59,51.1,Full
2010-05-31,-0.07780571591739147,0.0278459592663687,-0.049959756651022764,-0.057568178891652326,0.3333333333333333,YZJSGD SP Equity|STM SP Equity|HKL SP Equity|MLT SP Equity|KEP SP Equity|SCI SP Equity,STE SP Equity|ST SP Equity|SIA SP Equity|CICT SP Equity|GENS SP Equity|DFI SP Equity,0.0,1,22.05,51.9,Full
2010-06-30,0.02285496800907687,-0.05521929463517004,-0.03236432662609316,0.02955559156860994,0.0,YZJSGD SP Equity|HKL SP Equity|STM SP Equity|MLT SP Equity|KEP SP Equity|SCI SP Equity,CICT SP Equity|ST SP Equity|STE SP Equity|SIA SP Equity|GENS SP Equity|DFI SP Equity,0.0,1,32.07,52.2,Full
2010-07-31,0.05363381365791497,-0.0713065665279445,-0.017672752870029527,0.06252748351961103,0.3333333333333333,YZJSGD SP Equity|STM SP Equity|SATS SP Equity|SCI SP Equity|MLT SP Equity|THBEV SP Equity,SGX SP Equity|WIL SP Equity|CIT SP Equity|ST SP Equity|GENS SP Equity|DFI SP Equity,0.0,1,34.54,51.3,Full
2010-08-31,0.002093327856644615,-0.04073400443018028,-0.03864067657353566,0.004390027200065344,0.3333333333333333,YZJSGD SP Equity|STM SP Equity|SCI SP Equity|MLT SP Equity|HKL SP Equity|KEP SP Equity,SIA SP Equity|DBS SP Equity|ST SP Equity|WIL SP Equity|GENS SP Equity|DFI SP Equity,0.0,1,23.5,52.2,Full
2010-09-30,0.06374160272957365,-0.04493354757810068,0.018808055151472963,0.06400665353922318,0.0,YZJSGD SP Equity|SCI SP Equity|MLT SP Equity|HKL SP Equity|STM SP Equity|KEP SP Equity,DBS SP Equity|VMS SP Equity|ST SP Equity|WIL SP Equity|GENS SP Equity|DFI SP Equity,0.0,0,26.05,49.4,Full
2010-10-31,0.09013258859200102,0.0103790842033411,0.10051167279534212,0.023659622530769267,0.0,YZJSGD SP Equity|SCI SP Equity|STM SP Equity|MLT SP Equity|KEP SP Equity|HKL SP Equity,CICT SP Equity|CIT SP Equity|SGX SP Equity|WIL SP Equity|VMS SP Equity|DFI SP Equity,0.0,0,23.7,49.5,Full
2010-11-30,-0.0008805743497401518,-0.0036186683411116166,-0.004499242690851769,0.0039349714739314486,0.3333333333333333,YZJSGD SP Equity|SCI SP Equity|UOL SP Equity|HKL SP Equity|JM SP Equity|MLT SP Equity,DBS SP Equity|ST SP Equity|CICT SP Equity|VMS SP Equity|WIL SP Equity|DFI SP Equity,0.0,1,21.2,50.7,Full
2010-12-31,0.06771876813798833,-0.010616567750275599,0.05710220038771273,0.02720382802110259,0.3333333333333333,YZJSGD SP Equity|STM SP Equity|SCI SP Equity|HKL SP Equity|UOL SP Equity|KEP SP Equity,SGX SP Equity|VMS SP Equity|CICT SP Equity|DBS SP Equity|WIL SP Equity|DFI SP Equity,0.0,1,23.54,51.4,Full
2011-01-31,0.007053750791737716,0.003182408175209932,0.010236158966947649,-0.004911366609454404,0.16666666666666666,YZJSGD SP Equity|HKL SP Equity|KEP SP Equity|SCI SP Equity|UOL SP Equity|JM SP Equity,UOB SP Equity|CICT SP Equity|STE SP Equity|DBS SP Equity|WIL SP Equity|DFI SP Equity,1.0,1,17.75,50.7,Full
2011-02-28,-0.03781531853374178,0.05618220075842175,0.01836688222467997,-0.04395315730080675,0.3333333333333333,YZJSGD SP Equity|MINT SP Equity|STM SP Equity|HKL SP Equity|KEP SP Equity|SCI SP Equity,UOB SP Equity|VMS SP Equity|CIT SP Equity|DBS SP Equity|DFI SP Equity|WIL SP Equity,1.0,1,19.53,50.5,Full
2011-03-31,0.05785289027158055,-0.03833615684625105,0.019516733425329495,0.03298045554824293,0.0,YZJSGD SP Equity|STM SP Equity|MINT SP Equity|SCI SP Equity|HKL SP Equity|KEP SP Equity,SIA SP Equity|STE SP Equity|DBS SP Equity|CIT SP Equity|WIL SP Equity|DFI SP Equity,1.0,1,18.35,52.3,Full
2011-04-30,0.04621096422019463,-0.0167228754076135,0.029488088812581126,0.0271911152783278,0.0,YZJSGD SP Equity|MINT SP Equity|HKL SP Equity|STM SP Equity|KEP SP Equity|SCI SP Equity,CICT SP Equity|STE SP Equity|DBS SP Equity|SIA SP Equity|WIL SP Equity|DFI SP Equity,1.0,1,17.74,50.1,Full
2011-05-31,-0.020099045228935915,-0.012035025634751718,-0.032134070863687636,-0.0016208822637091978,0.16666666666666666,YZJSGD SP Equity|MINT SP Equity|STM SP Equity|KEP SP Equity|SCI SP Equity|UOL SP Equity,CICT SP Equity|DBS SP Equity|CIT SP Equity|SIA SP Equity|WIL SP Equity|DFI SP Equity,1.0,1,14.75,52.5,Full
2011-06-30,-0.028609090997972667,0.004606579943180733,-0.024002511054791932,-0.015504737827059011,0.16666666666666666,YZJSGD SP Equity|KEP SP Equity|MINT SP Equity|SCI SP Equity|HKL SP Equity|UOL SP Equity,SATS SP Equity|STE SP Equity|CICT SP Equity|JM SP Equity|DFI SP Equity|WIL SP Equity,1.0,1,15.45,50.8,Full
2011-07-31,0.009264259484290098,-0.024924135252678083,-0.015659875768387985,0.017242094015351137,0.16666666666666666,HKL SP Equity|YZJSGD SP Equity|KEP SP Equity|MINT SP Equity|STM SP Equity|UOL SP Equity,STE SP Equity|SATS SP Equity|SGX SP Equity|SIA SP Equity|WIL SP Equity|DFI SP Equity,0.0,1,16.52,50.4,Full
